timestamp(ms);HeadAccelerometer.X;HeadAccelerometer.Y;HeadAccelerometer.Z;HeadGyroscope.X;HeadGyroscope.Y;HeadGyroscope.Z;Hand Accelerometer 0.X;Hand Accelerometer 0.Y;Hand Accelerometer 0.Z;Hand Gyroscope 0.X;Hand Gyroscope 0.Y;Hand Gyroscope 0.Z;Hand Accelerometer 1.X;Hand Accelerometer 1.Y;Hand Accelerometer 1.Z;Hand Gyroscope 1.X;Hand Gyroscope 1.Y;Hand Gyroscope 1.Z
741871;0.07007772;0.0270087;-0.1023703;7.623037;313.5229;354.0546;;;;;;;;;;;;
741871;0.06987101;0.02855206;-0.1065414;7.50025;313.513;354.1772;;;;;;;;;;;;
741871;0.06881949;0.02961839;-0.1110998;7.358051;313.4872;354.295;;;;;;;;;;;;
741871;0.06794246;0.03143933;-0.1143274;7.212672;313.4651;354.4133;;;;;;;;;;;;
741871;0.0665279;0.03469594;-0.1172561;7.069003;313.4339;354.5664;;;;;;;;;;;;
741871;0.06560449;0.03612313;-0.1198496;6.917982;313.3788;354.7431;;;;;;;;;;;;
741871;0.06380288;0.03688248;-0.1226584;6.777767;313.2942;354.9498;;;;;;;;;;;;
741871;0.06222631;0.03655235;-0.1256555;6.651896;313.2056;355.192;;;;;;;;;;;;
741871;0.06043204;0.03568508;-0.1285453;6.519559;313.075;355.4681;;;;;;;;;;;;
741871;0.05822609;0.03551406;-0.130996;6.410353;312.9346;355.7567;;;;;;;;;;;;
741871;0.05617645;0.03636626;-0.1327085;6.299538;312.7702;356.0796;;;;;;;;;;;;
741871;0.05347902;0.03588136;-0.1339733;6.162451;312.5941;356.3908;;;;;;;;;;;;
741871;0.04939041;0.03619466;-0.1361855;6.042908;312.4407;356.6918;;;;;;;;;;;;
741871;0.04546781;0.0366006;-0.1375165;5.930321;312.2709;356.9971;;;;;;;;;;;;
741871;0.04211228;0.03617537;-0.1376561;5.793585;312.0918;357.2953;;;;;;;;;;;;
741871;0.03815412;0.03441145;-0.1380997;5.666728;311.9162;357.5904;;;;;;;;;;;;
741871;0.03419507;0.03381868;-0.1388047;5.529388;311.7364;357.8904;;;;;;;;;;;;
741871;0.03117211;0.03161345;-0.1387286;5.413624;311.5488;358.212;;;;;;;;;;;;
741871;0.02844643;0.03039445;-0.1380584;5.30842;311.3466;358.5423;;;;;;;;;;;;
741871;0.02496934;0.02951338;-0.1382131;5.216632;311.128;358.8899;;;;;;;;;;;;
741871;0.02077116;0.0289867;-0.1390832;5.130245;310.8978;359.2537;;;;;;;;;;;;
741871;0.01766039;0.02648124;-0.1390206;5.051001;310.6545;359.5987;;;;;;;;;;;;
741871;0.0139565;0.02375531;-0.1386566;4.958148;310.3927;359.9593;;;;;;;;;;;;
741871;0.011348;0.02166969;-0.1369589;4.879944;310.1246;0.3175664;;;;;;;;;;;;
741871;0.008055457;0.02013912;-0.135429;4.808917;309.8732;0.6598483;;;;;;;;;;;;
741871;0.004074425;0.01759695;-0.1329867;4.736909;309.6303;0.98983;;;;;;;;;;;;
741871;0.0008901964;0.01563581;-0.1310523;4.677484;309.3788;1.302406;;;;;;;;;;;;
741871;-0.002245993;0.01437926;-0.1288241;4.652387;309.1269;1.61551;;;;;;;;;;;;
741871;-0.004873906;0.01254593;-0.126247;4.617435;308.8643;1.926781;;;;;;;;;;;;
741871;-0.008350747;0.01070919;-0.1241227;4.628797;308.6141;2.215801;;;;;;;;;;;;
741871;-0.01078892;0.008457715;-0.121471;4.612136;308.3461;2.48585;;;;;;;;;;;;
741871;-0.01417901;0.006028688;-0.1177612;4.617769;308.0947;2.732785;;;;;;;;;;;;
741871;-0.01525881;0.004729617;-0.1154746;4.608232;307.8378;2.982681;;;;;;;;;;;;
741871;-0.01663444;0.003445664;-0.1117735;4.618691;307.5916;3.220912;;;;;;;;;;;;
741871;-0.01736442;0.00297754;-0.1082502;4.600073;307.3553;3.481349;;;;;;;;;;;;
741871;-0.01763447;0.002693004;-0.1048776;4.581315;307.1124;3.754646;;;;;;;;;;;;
741871;-0.01739625;0.004026881;-0.1016489;4.546591;306.8846;4.016405;;;;;;;;;;;;
741871;-0.01698768;0.005722932;-0.09862407;4.509441;306.6657;4.272455;;;;;;;;;;;;
741871;-0.01699709;0.00738195;-0.09496479;4.445598;306.4531;4.476183;;;;;;;;;;;;
741871;-0.01636024;0.007220678;-0.09159538;4.373655;306.2576;4.647757;;;;;;;;;;;;
741871;-0.01479934;0.008943014;-0.08902421;4.28885;306.0735;4.835487;;;;;;;;;;;;
741871;-0.01346335;0.01075024;-0.08577868;4.217158;305.8925;4.995792;;;;;;;;;;;;
741871;-0.01167224;0.01245154;-0.08274926;4.126117;305.7221;5.161932;;;;;;;;;;;;
